title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Just A Friend,Sandy Coast,spotify:track:1K56uN5qVv5EdOowCRdEdx,0.509,0.814,2,-9.712,1,0.0453,0.11,0.0,0.416,0.706,128.475,audio_features,1K56uN5qVv5EdOowCRdEdx,https://api.spotify.com/v1/tracks/1K56uN5qVv5EdOowCRdEdx,https://api.spotify.com/v1/audio-analysis/1K56uN5qVv5EdOowCRdEdx,180470,4
Lady of the Morning,Marvin Welch & Farrar,spotify:track:09LcAoxQgX0cbzyYT6nZ78,0.554,0.487,11,-11.97,1,0.0296,0.276,0.0,0.0772,0.728,131.704,audio_features,09LcAoxQgX0cbzyYT6nZ78,https://api.spotify.com/v1/tracks/09LcAoxQgX0cbzyYT6nZ78,https://api.spotify.com/v1/audio-analysis/09LcAoxQgX0cbzyYT6nZ78,220000,4
Love the One You're With,Stephen Stills,spotify:track:3NNkJwiHucP5QyUEAIMXra,0.566,0.527,0,-11.216,1,0.034,0.03,3.25e-06,0.115,0.157,97.281,audio_features,3NNkJwiHucP5QyUEAIMXra,https://api.spotify.com/v1/tracks/3NNkJwiHucP5QyUEAIMXra,https://api.spotify.com/v1/audio-analysis/3NNkJwiHucP5QyUEAIMXra,184733,4
Manuela,Jacques Herb,spotify:track:5wwi3PFLF74ifd5yDmNRph,0.476,0.328,4,-18.536,1,0.0276,0.201,0.0,0.173,0.433,87.539,audio_features,5wwi3PFLF74ifd5yDmNRph,https://api.spotify.com/v1/tracks/5wwi3PFLF74ifd5yDmNRph,https://api.spotify.com/v1/audio-analysis/5wwi3PFLF74ifd5yDmNRph,299914,4
Mary In The Morning,Guy Fletcher,spotify:track:5ByGuevI3ybzV6h8yRTwnM,0.388,0.166,5,-18.942,1,0.0438,0.847,7.83e-06,0.114,0.266,64.752,audio_features,5ByGuevI3ybzV6h8yRTwnM,https://api.spotify.com/v1/tracks/5ByGuevI3ybzV6h8yRTwnM,https://api.spotify.com/v1/audio-analysis/5ByGuevI3ybzV6h8yRTwnM,229667,4
Me and You and a Dog Named Boo,Lobo,spotify:track:3wRiwV9HdarzkktRH7If46,0.628,0.603,6,-10.286,1,0.0312,0.178,1.73e-05,0.0686,0.951,120.782,audio_features,3wRiwV9HdarzkktRH7If46,https://api.spotify.com/v1/tracks/3wRiwV9HdarzkktRH7If46,https://api.spotify.com/v1/audio-analysis/3wRiwV9HdarzkktRH7If46,177933,4
Mother - Ultimate Mix,John Lennon,spotify:track:102URDQhMTSimVByjpTRpL,0.509,0.269,0,-10.42,1,0.049,0.0895,0.00168,0.0787,0.341,135.786,audio_features,102URDQhMTSimVByjpTRpL,https://api.spotify.com/v1/tracks/102URDQhMTSimVByjpTRpL,https://api.spotify.com/v1/audio-analysis/102URDQhMTSimVByjpTRpL,335627,4
Sinfonía nº 40 en sol menor k 550 - 1º movimiento (Allegro molto) - 2015 Remaster,Waldo De Los Ríos,spotify:track:1DLgP3BMVJ15gdPcHgRDQm,0.414,0.684,7,-8.884,0,0.0297,0.655,0.511,0.135,0.629,98.413,audio_features,1DLgP3BMVJ15gdPcHgRDQm,https://api.spotify.com/v1/tracks/1DLgP3BMVJ15gdPcHgRDQm,https://api.spotify.com/v1/audio-analysis/1DLgP3BMVJ15gdPcHgRDQm,265160,4
Mr. Bojangles,Nitty Gritty Dirt Band,spotify:track:06uiDyZsrwnZ0o0q1Y8Ax2,0.534,0.536,6,-6.957,1,0.0276,0.481,4.18e-06,0.225,0.306,143.731,audio_features,06uiDyZsrwnZ0o0q1Y8Ax2,https://api.spotify.com/v1/tracks/06uiDyZsrwnZ0o0q1Y8Ax2,https://api.spotify.com/v1/audio-analysis/06uiDyZsrwnZ0o0q1Y8Ax2,234613,3
Only Lies,Greenfield & Cook,spotify:track:4YW1t2psQbUeZQe3rb4n3H,0.516,0.499,2,-11.383,1,0.0301,0.824,0.000658,0.124,0.372,126.207,audio_features,4YW1t2psQbUeZQe3rb4n3H,https://api.spotify.com/v1/tracks/4YW1t2psQbUeZQe3rb4n3H,https://api.spotify.com/v1/audio-analysis/4YW1t2psQbUeZQe3rb4n3H,209280,4
Pittsburgh In The Rain,Leon De Graaff,spotify:track:3HVjyzEPZYrPGdHeWbJ5DG,0.323,0.766,7,-7.511,1,0.0339,0.11,8.56e-06,0.152,0.517,147.393,audio_features,3HVjyzEPZYrPGdHeWbJ5DG,https://api.spotify.com/v1/tracks/3HVjyzEPZYrPGdHeWbJ5DG,https://api.spotify.com/v1/audio-analysis/3HVjyzEPZYrPGdHeWbJ5DG,192000,4
Pour un flirt,Michel Delpech,spotify:track:0RDUfBXGq7lhBAqlyu0UAy,0.587,0.503,2,-12.76,1,0.056,0.135,4.45e-05,0.178,0.8,171.273,audio_features,0RDUfBXGq7lhBAqlyu0UAy,https://api.spotify.com/v1/tracks/0RDUfBXGq7lhBAqlyu0UAy,https://api.spotify.com/v1/audio-analysis/0RDUfBXGq7lhBAqlyu0UAy,206160,4
Put Your Hand in the Hand,Ocean,spotify:track:7fwa5I8SycGBpw2jOZ0L7m,0.833,0.475,9,-14.951,1,0.0403,0.0489,0.000104,0.0759,0.978,136.384,audio_features,7fwa5I8SycGBpw2jOZ0L7m,https://api.spotify.com/v1/tracks/7fwa5I8SycGBpw2jOZ0L7m,https://api.spotify.com/v1/audio-analysis/7fwa5I8SycGBpw2jOZ0L7m,176707,4
Reason To Believe,Rod Stewart,spotify:track:1SMG9LdyyFQTMtydXDdcbn,0.335,0.5,7,-13.325,1,0.0448,0.739,0.0525,0.0813,0.334,139.161,audio_features,1SMG9LdyyFQTMtydXDdcbn,https://api.spotify.com/v1/tracks/1SMG9LdyyFQTMtydXDdcbn,https://api.spotify.com/v1/audio-analysis/1SMG9LdyyFQTMtydXDdcbn,247200,4
Rose Garden,Lynn Anderson,spotify:track:5YwgJ6lpZ3SiAQwBEpjqey,0.589,0.501,0,-11.665,1,0.031,0.168,0.0,0.0741,0.969,131.064,audio_features,5YwgJ6lpZ3SiAQwBEpjqey,https://api.spotify.com/v1/tracks/5YwgJ6lpZ3SiAQwBEpjqey,https://api.spotify.com/v1/audio-analysis/5YwgJ6lpZ3SiAQwBEpjqey,175867,4
Rosetta,Georgie Fame,spotify:track:0XHIMipJPpVP6NNGMGFhuV,0.44,0.663,2,-13.915,1,0.0782,0.645,2.69e-05,0.82,0.962,206.514,audio_features,0XHIMipJPpVP6NNGMGFhuV,https://api.spotify.com/v1/tracks/0XHIMipJPpVP6NNGMGFhuV,https://api.spotify.com/v1/audio-analysis/0XHIMipJPpVP6NNGMGFhuV,165960,4
Silver Moon,Michael Nesmith,spotify:track:3pDiNbqY2sRSNApqrS8td7,0.558,0.68,5,-12.674,1,0.0372,0.143,3.3e-06,0.227,0.703,127.511,audio_features,3pDiNbqY2sRSNApqrS8td7,https://api.spotify.com/v1/tracks/3pDiNbqY2sRSNApqrS8td7,https://api.spotify.com/v1/audio-analysis/3pDiNbqY2sRSNApqrS8td7,190333,4
Soldiers Who Want to Be Heroes,Rod McKuen,spotify:track:5xMc6taLsX6rFmSVHyPQd0,0.568,0.505,7,-11.354,1,0.0383,0.0937,3.81e-06,0.157,0.843,99.527,audio_features,5xMc6taLsX6rFmSVHyPQd0,https://api.spotify.com/v1/tracks/5xMc6taLsX6rFmSVHyPQd0,https://api.spotify.com/v1/audio-analysis/5xMc6taLsX6rFmSVHyPQd0,175013,4
Soley Soley,Middle Of The Road,spotify:track:2uR4U3BpZRT5xhLbWTitfn,0.43,0.423,5,-11.215,1,0.0387,0.0198,1.96e-05,0.14,0.235,123.491,audio_features,2uR4U3BpZRT5xhLbWTitfn,https://api.spotify.com/v1/tracks/2uR4U3BpZRT5xhLbWTitfn,https://api.spotify.com/v1/audio-analysis/2uR4U3BpZRT5xhLbWTitfn,185800,4
Spanish Harlem,Aretha Franklin,spotify:track:0sQ594D1EuU66VDdtHBE6j,0.66,0.619,2,-12.577,1,0.0466,0.235,0.00793,0.0828,0.913,115.419,audio_features,0sQ594D1EuU66VDdtHBE6j,https://api.spotify.com/v1/tracks/0sQ594D1EuU66VDdtHBE6j,https://api.spotify.com/v1/audio-analysis/0sQ594D1EuU66VDdtHBE6j,213560,4
